year,sex,marital_status,age,outside_labour_force
2002,male,married,15-19,100
2002,male,married,20-24,-
2002,male,married,25-29,500
2002,male,married,30-34,700
2002,male,married,35-39,500
2002,male,married,40-44,1200
2002,male,married,45-49,2600
2002,male,married,50-54,6500
2002,male,married,55-59,12600
2002,male,married,60-64,24700
2002,male,married,65-69,25900
2002,male,married,70_and_over,45400
2002,male,widowed_divorced,15-19,-
2002,male,widowed_divorced,20-24,-
2002,male,widowed_divorced,25-29,-
2002,male,widowed_divorced,30-34,100
2002,male,widowed_divorced,35-39,100
2002,male,widowed_divorced,40-44,200
2002,male,widowed_divorced,45-49,100
2002,male,widowed_divorced,50-54,500
2002,male,widowed_divorced,55-59,800
2002,male,widowed_divorced,60-64,2100
2002,male,widowed_divorced,65-69,3100
2002,male,widowed_divorced,70_and_over,13400
2002,female,single,15-19,90900
2002,female,single,20-24,32500
2002,female,single,25-29,3000
2002,female,single,30-34,1700
2002,female,single,35-39,1800
2002,female,single,40-44,2100
2002,female,single,45-49,2300
2002,female,single,50-54,3100
2002,female,single,55-59,2400
2002,female,single,60-64,1700
2002,female,single,65-69,1700
2002,female,single,70_and_over,2700
2002,female,married,15-19,300
2002,female,married,20-24,4400
2002,female,married,25-29,19300
2002,female,married,30-34,40000
2002,female,married,35-39,58000
2002,female,married,40-44,55700
2002,female,married,45-49,51700
2002,female,married,50-54,47200
2002,female,married,55-59,36700
2002,female,married,60-64,38200
2002,female,married,65-69,25600
2002,female,married,70_and_over,23900
2002,female,widowed_divorced,15-19,-
2002,female,widowed_divorced,20-24,-
2002,female,widowed_divorced,25-29,-
2002,female,widowed_divorced,30-34,200
2002,female,widowed_divorced,35-39,800
2002,female,widowed_divorced,40-44,1100
2002,female,widowed_divorced,45-49,2800
2002,female,widowed_divorced,50-54,4900
2002,female,widowed_divorced,55-59,7700
2002,female,widowed_divorced,60-64,14200
2002,female,widowed_divorced,65-69,17000
2002,female,widowed_divorced,70_and_over,64400
2003,male,single,15-19,102300
